Model,Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,Loss
self_mm,"(77.72, 0.42)","(65.03, 0.97)","(43.54, 1.37)","(77.89, 0.4)","(41.24, 0.87)","(59.24, 0.9)","(41.45, 0.65)"
self_mm,"(77.72, 0.42)","(65.03, 0.97)","(43.54, 1.37)","(77.89, 0.4)","(41.24, 0.87)","(59.24, 0.9)","(41.45, 0.65)"
self_mm,"(77.99, 0.86)","(65.73, 0.79)","(42.49, 0.93)","(78.08, 0.69)","(41.67, 0.78)","(59.32, 1.23)","(46.04, 0.73)"
self_mm,"(78.73, 0.91)","(64.77, 0.91)","(41.71, 1.03)","(78.85, 0.86)","(41.37, 0.45)","(60.03, 0.85)","(41.8, 1.02)"
self_mm,"(78.56, 1.2)","(65.21, 1.26)","(42.89, 0.66)","(78.75, 1.12)","(45.12, 1.25)","(60.37, 2.7)","(45.53, 1.49)"
self_mm,"(79.43, 3.63)","(64.99, 3.74)","(42.89, 8.33)","(78.95, 8.66)","(58.91, 6.48)","(58.46, 19.73)","(59.29, 6.52)"
self_mm,"(79.43, 3.76)","(65.21, 3.99)","(43.33, 8.41)","(78.95, 8.72)","(59.3, 6.69)","(61.18, 19.64)","(59.47, 6.85)"
self_mm,"(78.34, 0.99)","(65.43, 1.81)","(44.2, 2.48)","(78.22, 1.02)","(45.3, 0.55)","(56.65, 1.11)","(45.62, 0.65)"
self_mm,"(79.43, 0.84)","(65.21, 0.42)","(43.76, 1.39)","(79.66, 0.96)","(43.15, 0.52)","(58.34, 0.69)","(43.14, 0.46)"
self_mm,"(78.77, 0.63)","(68.27, 1.55)","(44.42, 1.47)","(78.91, 0.74)","(43.15, 0.81)","(59.99, 1.23)","(44.74, 1.89)"
self_mm,"(79.87, 1.14)","(67.4, 1.3)","(43.54, 1.19)","(79.4, 1.07)","(45.07, 0.9)","(60.3, 1.26)","(44.48, 1.06)"
self_mm,"(79.43, 1.04)","(66.74, 1.0)","(44.64, 0.89)","(79.21, 0.77)","(42.23, 0.07)","(59.25, 0.59)","(42.92, 0.53)"
self_mm,"(76.59, 1.64)","(64.99, 2.39)","(40.92, 1.96)","(76.7, 1.54)","(49.15, 1.87)","(54.31, 3.62)","(51.18, 1.7)"
self_mm,"(75.05, 0.18)","(63.89, 1.65)","(42.01, 2.2)","(75.09, 0.37)","(48.15, 1.58)","(54.97, 3.29)","(50.72, 2.27)"
self_mm,"(77.46, 0.41)","(64.33, 1.49)","(42.89, 0.59)","(77.8, 0.51)","(44.94, 0.89)","(56.21, 2.03)","(45.99, 1.11)"
self_mm,"(75.49, 1.04)","(62.58, 1.4)","(41.36, 5.55)","(75.84, 1.99)","(54.85, 3.67)","(52.25, 6.41)","(55.18, 3.49)"
self_mm,"(77.46, 0.84)","(64.99, 0.74)","(46.39, 1.74)","(77.26, 0.62)","(46.2, 1.21)","(56.34, 1.79)","(45.82, 1.24)"
self_mm,"(000, 2.31)","(64.11, 5.64)","(40.92, 6.39)","(74.16, 2.0)","(53.12, 1.75)","(48.43, 1.44)","(54.21, 2.03)"
